t,q_actual_0,dq_actual_0,tau_est_0,q_cmd_0,q_ref_0,dq_ref_0,q_actual_1,dq_actual_1,tau_est_1,q_cmd_1,q_ref_1,dq_ref_1,q_actual_2,dq_actual_2,tau_est_2,q_cmd_2,q_ref_2,dq_ref_2,q_actual_3,dq_actual_3,tau_est_3,q_cmd_3,q_ref_3,dq_ref_3,q_actual_4,dq_actual_4,tau_est_4,q_cmd_4,q_ref_4,dq_ref_4,q_actual_5,dq_actual_5,tau_est_5,q_cmd_5,q_ref_5,dq_ref_5,q_actual_6,dq_actual_6,tau_est_6,q_cmd_6,q_ref_6,dq_ref_6,q_actual_7,dq_actual_7,tau_est_7,q_cmd_7,q_ref_7,dq_ref_7,q_actual_8,dq_actual_8,tau_est_8,q_cmd_8,q_ref_8,dq_ref_8,q_actual_9,dq_actual_9,tau_est_9,q_cmd_9,q_ref_9,dq_ref_9,q_actual_10,dq_actual_10,tau_est_10,q_cmd_10,q_ref_10,dq_ref_10,q_actual_11,dq_actual_11,tau_est_11,q_cmd_11,q_ref_11,dq_ref_11
0.22,0.00427655,-0.104639,-1.41008,-0.0864906,-0.00805514,0.0782617,0.973649,0.0968881,0.667934,1.00595,0.953657,-0.0768587,-2.12176,-0.242641,4.64667,-1.9955,-2.07252,-0.933373,-0.0414876,-0.178274,1.03901,0.0333879,-0.00756035,0.0808859,0.971953,0.228656,0.0742148,0.982546,0.967204,-0.074254,-2.10777,-0.184003,3.88803,-1.99967,-2.04676,-0.824445,0.0922076,-0.0155021,-4.05708,-0.184047,0.0263921,0.124851,0.979275,-0.120141,2.12749,1.13835,0.958842,-0.375572,-2.09753,0.0465063,8.39246,-1.83122,-2.08578,-0.235772,-0.0957804,0.0697594,4.27972,0.174259,0.026619,0.123612,0.970949,0.139519,2.07802,1.12245,0.988832,-0.386079,-2.09627,0.0384182,7.2545,-1.87173,-2.09582,-0.164574
0.24,0.000582695,-0.209278,-1.60799,-0.10413,-0.0068357,0.0332711,0.973952,0.0426308,0.593719,1.00235,0.952149,-0.0732556,-2.12413,-0.0829025,5.78464,-1.98819,-2.08869,-0.619513,-0.042184,-0.131768,1.63273,0.0396376,-0.0062914,0.0356717,0.974315,0.0968881,0.14843,0.998509,0.965787,-0.063017,-2.10925,-0.0788585,4.64667,-1.98073,-2.06098,-0.53634,0.0889376,0.073635,-5.76402,-0.225078,0.0284452,0.0766694,0.980486,-0.0232531,3.33967,1.15832,0.951061,-0.388829,-2.09661,-0.0829025,11.2848,-1.80981,-2.08699,0.138891,-0.0929645,-0.0155021,5.56611,0.200488,0.0286494,0.0759768,0.974219,0.108515,3.01807,1.13985,0.980834,-0.390039,-2.09548,-0.0687484,9.38818,-1.84637,-2.09575,0.185013
0.26,-0.00338366,-0.341046,-1.88011,-0.134216,-0.00672429,-0.0207968,0.975708,0.155021,0.371074,1.00647,0.950727,-0.0608891,-2.1269,-0.0869465,5.83205,-1.94585,-2.0973,-0.192255,-0.0449393,-0.120141,1.88011,0.0672215,-0.00613348,-0.018592,0.977978,0.298415,0.123691,1.00724,0.964684,-0.0400379,-2.10965,0.0101101,5.26307,-1.9461,-2.06821,-0.137377,0.0875146,-0.0930126,-6.40722,-0.268772,0.0294588,0.0277356,0.981849,0.139519,3.53757,1.17788,0.943289,-0.363298,-2.09631,-0.00808805,12.0908,-1.77888,-2.08023,0.533199,-0.0923287,0.00775105,6.08562,0.245442,0.029658,0.0280342,0.978064,0.302291,3.11702,1.15295,0.97323,-0.341754,-2.09499,-0.0303302,10.2891,-1.80875,-2.08842,0.540662
0.28,-0.00916667,-0.279038,-2.35014,-0.134021,-0.00766757,-0.0631718,0.979341,0.135643,0.371074,1.0277,0.949713,-0.0322238,-2.12628,0.0384182,7.63382,-1.88989,-2.09638,0.335705,-0.0453631,-0.081386,2.42435,0.0819287,-0.00703508,-0.0614196,0.982883,0.158896,0.321598,1.0209,0.964186,-0.00618845,-2.10911,0.0121321,6.68552,-1.9214,-2.06648,0.36273,0.0840933,-0.124017,-7.12463,-0.2948,0.0295547,-0.011559,0.986421,0.0697594,3.8097,1.21962,0.936529,-0.281172,-2.095,0.0930126,13.1814,-1.73518,-2.06567,0.908118,-0.0912993,-0.081386,7.12463,0.286851,0.0297708,-0.0102554,0.984301,0.313917,3.19124,1.17317,0.967164,-0.235884,-2.09407,-0.0566163,11.8538,-1.77067,-2.07413,0.876927
0.3,-0.0120128,0.0465063,-2.62226,-0.137266,-0.00925116,-0.0808562,0.983974,0.186025,0.692672,1.04236,0.949438,-0.00436008,-2.12225,0.374072,9.00886,-1.83804,-2.08387,0.992674,-0.0463018,-0.081386,2.72121,0.11446,-0.00859026,-0.0800814,0.988091,0.282913,0.470027,1.01957,0.964436,0.015083,-2.1068,0.190069,7.20709,-1.88957,-2.0537,0.992584,0.081338,0.0232531,-7.84204,-0.273757,0.0289965,-0.0383215,0.991689,0.0930126,4.57658,1.2307,0.932042,-0.148861,-2.09167,0.139519,14.6512,-1.68558,-2.0439,1.2811,-0.0902698,-0.00775105,7.94099,0.28821,0.0292478,-0.0363298,0.990417,0.251909,3.56231,1.15664,0.963795,-0.0898421,-2.09176,0.135475,13.0866,-1.76384,-2.05335,1.22196
0.32,-0.01171,0.0116266,-2.67173,-0.120307,-0.00925116,-0.0808562,0.989908,0.240282,0.841102,1.02186,0.949438,-0.00436008,-2.11642,0.390248,11.0477,-1.87497,-2.08387,0.992674,-0.0455145,0.0271287,3.29019,0.093005,-0.00859026,-0.0800814,0.993299,0.275162,0.346336,1.00472,0.964436,0.015083,-2.10072,0.430689,7.96573,-1.90687,-2.0537,0.992584,0.0823674,0.186025,-7.54518,-0.247744,0.0289965,-0.0383215,0.997411,0.189901,4.60132,1.16205,0.932042,-0.148861,-2.08609,0.499437,15.647,-1.7485,-2.0439,1.2811,-0.0899368,0.104639,7.84204,0.258743,0.0292478,-0.0363298,0.995595,0.333295,3.06755,1.11156,0.963795,-0.0898421,-2.08864,0.194113,13.0391,-1.79232,-2.05335,1.22196
0.34,-0.0102567,0.0310042,-2.35014,-0.139599,-0.012089,-0.0382997,0.994449,0.282913,0.346336,1.07386,0.947788,-0.268696,-2.11105,0.378116,9.00886,-1.57156,-2.00949,3.0585,-0.0446668,0.116266,2.72121,0.265251,-0.0114593,-0.040921,0.995449,-0.0387552,0.173168,1.1273,0.96274,-0.301707,-2.09565,0.210289,7.2545,-1.52282,-1.98043,3.00345,0.0826702,-0.135643,-6.67934,-0.295289,0.0267239,-0.0738509,1.00101,0.302291,3.01807,1.1532,0.930799,-0.0835523,-2.08192,0.31139,13.1814,-1.40481,-1.9733,2.58259,-0.0893615,0.100764,7.12463,0.28532,0.0270612,-0.0722248,0.999712,0.302291,2.07802,1.12352,0.964706,-0.0604436,-2.08456,0.283082,11.1899,-1.59875,-1.98555,2.52142
0.36,-0.00492781,0.786731,-3.76022,0.0240575,-0.0124338,0.0114103,1.00141,-0.290664,1.78116,1.18307,0.938791,-0.855842,-2.08276,2.03819,17.4013,-1.5122,-1.93433,4.706,-0.037824,-0.341046,6.6546,0.484761,-0.0118752,0.00723246,1.00683,-0.209278,2.8449,1.06346,0.952721,-0.926311,-2.06407,2.30509,18.3496,-1.28591,-1.90663,4.63045,0.0873027,1.06964,-9.05421,-0.511449,0.0250678,-0.0897295,1.00165,-0.608457,3.71074,1.30465,0.927232,-0.551987,-2.05034,1.929,23.5179,-0.961953,-1.91112,4.02184,-0.0888165,-0.189901,8.0152,0.224555,0.0254286,-0.0893736,1.00198,-0.220905,2.77069,1.15536,0.961152,-0.587863,-2.06407,1.43158,16.7375,-1.4236,-1.92439,3.98962
0.38,0.0136323,0.550324,-0.371074,-0.0374602,-0.0116326,0.0797814,1.00305,-0.248034,4.0076,0.880937,0.913555,-1.92126,-2.05131,2.23028,17.5436,-1.29413,-1.82125,6.79579,-0.0235633,0.988259,9.69741,0.159851,-0.01117,0.0748817,1.00256,-0.604582,1.92959,1.03584,0.925688,-2.03167,-2.02927,2.62255,25.3196,-1.19562,-1.79521,6.72401,0.0917838,0.51932,-13.1608,-0.317044,0.0231347,-0.0883169,1.00253,-0.511569,6.82777,1.13753,0.908719,-1.67449,-2.00327,2.48708,38.9277,-0.903867,-1.81243,6.27963,-0.0856374,0.189901,6.35774,0.377217,0.0234862,-0.0897717,1.00174,-0.325544,3.4881,1.22549,0.941192,-1.7909,-2.0318,2.48708,20.1988,-1.02465,-1.82596,6.29635
0.4,0.0233211,1.11228,-2.35014,-0.00113031,-0.00924255,0.162432,0.976586,-1.90288,-0.0247383,0.833351,0.861941,-3.28353,-1.98507,4.8407,18.3496,-1.01631,-1.6625,8.92297,-0.0218072,-0.0387552,3.71074,0.210225,-0.00887991,0.157905,0.98464,-1.38744,2.44909,0.813057,0.871454,-3.4348,-1.96885,4.43225,22.5696,-1.09473,-1.63767,8.89857,0.102865,0.647212,-9.30159,-0.324912,0.0215351,-0.0492336,0.98742,-0.957254,4.08182,1.2372,0.860252,-3.33818,-1.95343,4.17343,34.5182,-0.771123,-1.65993,9.02555,-0.0712858,0.434059,9.05421,0.504284,0.0218378,-0.052274,0.987783,-1.56571,6.77829,0.975125,0.889516,-3.53068,-1.95248,4.93169,29.587,-0.914843,-1.67254,9.10441
0.42,0.0450604,0.953379,-2.07802,0.0873744,-0.00513528,0.104492,0.943159,-2.3912,0,0.777556,0.782214,-4.03346,-1.8707,6.87889,21.0049,-1.28022,-1.46434,9.53488,-7.40588e-06,1.40682,2.91912,0.0225407,-0.00485377,0.301076,0.941161,-2.62761,0.0742148,0.624442,0.788296,-4.21719,-1.86603,5.91236,19.0134,-1.1156,-1.43927,9.48267,0.110102,0.356548,-9.42529,0.0340997,0.0211653,-0.114646,0.960654,-2.36407,8.21311,0.85777,0.775192,-4.36604,-1.84794,5.94876,33.3802,-0.952761,-1.45141,10.0473,-0.050031,1.35643,10.2416,0.221954,0.0213953,0.0602627,0.942306,-2.58497,3.24072,1.00429,0.799964,-4.58068,-1.85503,5.67377,26.3628,-0.913879,-1.46179,10.1394
0.44,0.0638325,0.418557,-0.0247383,0.115746,-0.00506289,-0.388052,0.893141,-2.69349,0.272121,0.529709,0.700603,-3.57979,-1.76159,5.72027,7.39675,-1.02391,-1.2811,7.33257,0.00986307,0.616208,-0.321598,0.0785553,0.00316311,0.674894,0.877578,-3.42596,-2.0038,0.544849,0.702766,-3.73978,-1.74256,7.8535,9.67267,-0.992806,-1.25837,7.02832,0.132961,0.713096,-2.647,0.0652743,0.0169493,-0.631918,0.89477,-3.44534,2.54804,0.613862,0.685611,-3.79101,-1.72796,7.95662,15.3625,-0.926624,-1.25804,7.41156,-0.0398275,1.26342,4.08182,0.118279,0.0242483,0.367843,0.8882,-3.00741,5.51664,0.518651,0.706289,-3.91938,-1.72649,8.08401,16.9272,-1.06171,-1.26696,7.45391
